Merged PR #	Skipped PR #	Tag	Comment
3684			typos
3687			bugfix
3661			deprecating lnrpc fields
3686			bugfix
2927			bugfix
3685			spec update
	2533		ignorada (docker)
3699			bugfix
	3704		ignorada (neutrino)
3665			refactor
3710			refactor
3594			refactor
3701			refactor
3706			improv
3726			new test
3649			(partial) test fix
3644			refactor
3705			logging
3730			constant change
3729			improv
3732			bugfix
3713			refactor
3739			feature (last hop restricitons)
	2520		ignorada (docker)
3740			constant change
3667			logs
3721			bugfix
1152			new test
3499			MPP work
3493			improv routing stats
3754			doc
	3751		ignorada (já tem)
	3750		ignorada (já tem) 
3757			typo
3737			bugfix
3648			refactor
	3756		ignorada (não desejada)
	3759		ignorada (bitcoind)
3748			mobile bindings
3693			refactor
3736			new feature (send to self)
3659			refactor fundingmgr
3782			improv
	3584		ignorada (litcoin)
	3776		ignorada (já tem)
3743			improv
3762			mobile bindings
3749			improv: local check before payment
3744			refactor
3790			refactor
3752			more logging
3698			SCB warning
3719			bugfix
3655			spec update
	3767		ignorada (já tem)
3770			refactor MPP
3788			improv MPP
3789			bugfix
	3794		ignorada (travis)
3774			bugfix
3804			Revert 3790
3742			refactor
3815			typo
	3813		ignorada (bitcoind)
3702			feature
3802			feature
3785			bugfix
3820			log 
3815			MPP!!!
3812			feature
3825			bugfix
3826			log 
3824			feature
3819			bugfix
3828			improv
	3832		ignorada (já tem)
3745			feature
3694			bugfix
3837			feature
3840			doc
3834			improv
3775			improv
3763			feature
3799			bugfix
3397			feature
3814			refactor
3783			mobile feature
3850			bugfix
3796			feature (upfront shutdown address)
3818			bugfix
3679			MPP work
3847			test bugfix
3838			bugfix
3845			improv
3858			bugfix
3849			test bugfix
3862			improv
3831			improv
3863			bugfix
3841			refactor
3855			test bugfix
3857			comment typo
3647			improv
	3873		ignorada (já tem)
3722			feature (external funding)
3795			feature (key send)
3777			feature (DH shared key)
3870			typo
3889			bugfix
3886			build script
3836			spec bugfix
3891			update lightning-onion
3900			feature (extra data cli)
3911			bugfix
3843			refactor
	3917		ignorada (docs)
3918			bugfix
3922			refactor (rename)
3948			dep update
3949		v0.9.0-beta	release script
3809			feature (force sweep)
3947			log 
2137			race condition
3908			mobile bindings
3797			testing
3872			bugfix: sign after restart
3925			spec bugfix
3582			feature: pending open api
	3927		ignorada (btcwallet)
3950			improv: startup time with cancelled invoices
3945			improv: routing
3965			improv: empty values in REST proxy
3194			Itest: extra assertions 
3926			typo
2593			fuzz tests
3957			wip amp
3915			bugfix
3979			lint
3978			log 
3980			fix deadlock
3984			improv
3844			wip htlc notifier
3916			typo
3990			bugfix
3995			log 
3964			itest fixes
3992			bugfix
3932			improv
3951			wip anchor outputs
	4007		ignorada (deps)
3998			improv
3876			improv
	3988		ignorada (docker)
4012			remove stuff
3910			improv
3781			wip htlc notifier
3691			routing improv
	4026		ignorada (travis)
	4017		ignorada (btcwallet)
3961			improv (track coop close initiator)
4003			cmd arg change
	4013		ignorada (readme)
4035			typo
4030			itest flake
4040			feature (shortchanid)
4053			sample config
4045			cmd arg change
4055			remove stuff
3996			json api change
3993			bugfix
1895			fuzz tests
3963			docs 
4034			(partial) size estimator bugfix
4000			wip mpp
3821			anchor commitments
4048			feature tor
	4062		ignorada (size)
4042			Verify protoc files
4070			fix prev
4010			itest fixes
	4069		ignorada (travis)
4071			log 
	4061		ignorada (deps)
4056			tor
4068			api improv
	4080		ignorada (bitcoind)
4082			Scb + anchors
4051			track peer errors
3848			feature htlc notifier
	4094		ignorada (bitcoind)
3758			anchor commitments
3833			kv store
4101			typo
4104			doc
	4105		ignorada (já tem)
4095			feature
2669			refactor
	4064		ignorada (neutrino)
4081			feature (frozen channels)
4303			itest fixes
	4108		ignorada (Docs)
4110			itest fixes
	4112		ignorada (mod)
4114			log 
4111			rpc fields
4067			rpc fields
	4117		ignorada (docs)
3924			itest fixes
	4078		ignorada (bitcoind)
4107			log 
4122			typo
3865			feature graph metrics
4092			improv
4073			anchor outputs itests
4113			improv
4125			fix prev pr
4087			watchtower tor
4079			(partial) psbt
4129			rpc fields
4128			default routerrpc enabled
	4124		ignorada (travis)
4130			refactor
4133			bugfix
4138			log 
4144			bugfix
3970			MPP work
4091			(partial) btcwallet bugfix
4151			log 
4143			itest fixes
4121			bugfix
4140			rpc stuff
4145			improv
4152			refactor
3960			feature (pagination in listpayments)
3972			improv
3967			MPP work
4075			remove stuff
4172			size tests
4163			version rpc
	4185		ignorada (dep)
4169			test
4175			bugfix
4189			rename field
4188			typo
4184			bugfix
	4190		ignorada (versão)
4174			improv
4195			fix prev pr
4199			bugfix
4206			typo
4198			MPP work
4209			bugfix
4182			rpc stuff
4211			bugfix
4205			improv
4212			(partial) release script
4196			cli improv
4224			doc
	4230	v0.10.0-beta	ignorada (bitcoind)
	4192		parcial
4207			bugfix
4089			config
4176			feature
4194			bugfix
4237			bugfix
4239			doc
4161			make
	4242		itest whitelist
4148			refactor
4221			release script
4241			refactor
4234			bugfix
4249			itest whitelist
4259			docker stuff
4139			feature
4236			docs 
4253			compat
	4256		itest whitelist
	4220		ignorada (github actions)
4250			refactor
3018			log 
2668			db migration dryrun
4257			improv
3892			(partial)
4282			comments
4147			refactor
4280			refactor
	4276		ignorada (github actions)
4274			bugfix
4277			bugfix
	4294		ignorada (github actions)
	4295		ignorada (dep)
	4291		parcial
4286			refactor
4213			feature: tx labels
4183			bugfix pathfind
4227			refactor signing
4304			bugfix for arm
	4300		(already have) refactor remove fastsha256
4302			bugfix possible panic
4132			itest refactor
4015			feature etcd as kvdb
	4315		(already have) go.mod tidy
4309			bugfix
4316			typo
4317			test improv
4228			feature (label txs)
4252			refactor (rename dbtx)
4298			bugfix invoices
	4324		ignored (version bump)
4285			feature: track invoices by unique random pay addr
4320			refactor logging
	4331		(already have) typo
4326			(partial) test improv
	4335		ignored (still enforcing payment limits)
4332			log typo
4327			bugfix
4334			improv hodl invoices
4339			(partial) etcd mod bump
4342			bugfix gossip
4318			bugfix etcd kvdb
4341			improv log
4303			feature coin selection rpc
4251			improv rest gateway
4358			doc
4356			bugfix signrpc
4357			test improv
4261			db migration
4355			bugfix chainntfs
4369			(partial) improv coin selection
	4345		(already have) test fix
	4262		(ignored) Makefile
	4366		(ignored) deps
4264			docs 
	4033		(ignored) deps
4141			improv rest gateway
4365			refactor chan closer
4395			bugfix discovery
4370			bugfix graph
4391			bugfix lnwire
4379			bugfix scb
4018			feature hold HTLCs
4275			bugfix
$20b42ce26			cli improv
4328			improv
4361			bugfix
	4410		(already have) replace fastsha256
4106			feature: track wallet restore
4407			bugfix: restore keysend ability
4352			(partial) already had most of it
4405			feature: htlc interception
4167			feature hold keysend
4731			feature: expose rpc stuff
4428			feature: relative thaw height for new chans
4418			test anchor txs
4347			refactor peer pkg
4281			feature: dynamic ips
971			feature: open chan flags
